propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.663E+13,78731,845281,746975,466068,402000,322046
4.82595E+11,78731,725303,665278,615333,567866,468310
1.663E+13,78731,416900,422836,404307,359369,318205
1.663E+13,78731,435982,410866,398708,387523,311045
1.663E+13,78731,742171,681034,554763,545605,542918
3.55423E+12,78731,403701,444885,427276,389641,335043
1.52693E+13,78731,943675,397420,407024,372104,288449
4.45092E+12,78731,463500,451837,436866,408252,386012
1.663E+13,78731,495178,463224,454853,445703,377241
9.97132E+11,78731,491070,504486,445550,433765,369890
1.663E+13,78731,631736,588826,545919,481650,426416
1.663E+13,78731,529804,493650,468226,444835,363339
1.663E+13,78731,394150,401980,355738,392265,304566
2.77434E+12,78731,535848,498984,470254,446507,344733
1.663E+13,78731,687209,642607,586712,542575,501521
3.39212E+12,78731,821942,754891,647376,595331,605555
3.55524E+12,78731,672500,524953,436471,385700,276599
1.663E+13,78731,613454,582879,510122,509596,467111
3.40828E+12,78731,900700,756135,761057,690069,595000
4.1626E+12,78731,542229,547520,480172,444564,383596
4.16262E+12,78731,494985,462928,442425,423564,311583
3.40824E+12,78731,722000,643811,574312,552981,540517
1.67027E+13,78731,677904,500182,511990,420853,366054
1.66302E+13,78731,488864,470184,429708,413080,343275
1.66302E+13,78731,480291,449962,431540,414591,346497
1.66302E+13,78731,418201,442413,391625,355720,309968
3.55421E+12,78731,585176,581434,435000,421178,353133
1.663E+13,78731,436065,508322,477959,452859,394875
2.92207E+12,78731,476402,446532,428658,392608,321421
1.663E+13,78731,483830,455404,431127,473327,372631
3.44742E+12,78731,460419,430727,411898,394574,349375
4.16566E+12,78731,407801,372912,316995,289297,351390
1.52304E+13,78731,371354,347298,330297,316418,172013
4.82595E+11,78731,631328,583231,524689,493247,483027
3.55949E+12,78731,570546,563718,484521,510578,485895
1.67027E+13,78731,856800,864587,724356,342000,316693
1.47025E+13,78731,605813,657733,504719,392398,374272
1.663E+13,78731,412791,422014,383457,362751,312852
1.43663E+13,78731,501600,517119,478410,468214,409829
3.55526E+12,78731,441886,453783,405000,400880,337493
1.66302E+13,78731,702677,649762,566680,528149,301758
3.56921E+12,78731,690087,641756,536478,531514,499970
1.44175E+13,78731,635753,542313,501081,483685,393172
1.663E+13,78731,529835,489883,454240,456709,367774
4.84771E+11,78731,815635,741074,650206,616973,643835
5.07371E+12,78731,440222,472850,442708,414975,349465
3.39216E+12,78731,639435,590384,525236,493639,462165
1.44683E+13,78731,460175,433558,404540,389641,277754
9.94365E+11,78731,718614,643270,527021,492689,473651
1.50593E+13,78731,469462,440408,423514,407973,316815
4.82595E+11,78731,1023174,971834,870759,801882,855272
3.55471E+12,78731,579847,508000,468616,505949,471975
1.663E+13,78731,602265,572341,512024,519998,518496
1.663E+13,78731,489360,465243,414377,425169,327290
3.49407E+12,78731,401855,386239,361643,380478,287175
2.98865E+12,78731,428700,433089,400970,399000,294496
3.57218E+12,78731,559988,520022,489835,444673,359473
4.8477E+11,78731,496256,460319,400262,438637,350386
4.15729E+12,78731,503396,470349,448660,428704,366314
9.97131E+11,78731,704305,679879,598565,556106,320967
1.66302E+13,78731,541430,503908,474317,449857,367017
1.66302E+13,78731,438638,413210,391920,417120,339881
3.40759E+12,78731,473400,477897,410000,437796,401879
3.44831E+12,78731,546802,561551,548852,502751,406503
1.66302E+13,78731,747656,725678,643736,595412,552861
7.93005E+11,78731,658400,637084,548501,514394,468191
3.45066E+12,78731,674614,622109,552187,520000,517221
3.58197E+12,78731,532001,515040,485277,361967,304509
3.55528E+12,78731,644288,525200,423428,458000,380042
1.67027E+13,78731,413746,411091,380266,360000,283195
1.66302E+13,78731,511570,490679,468224,444000,379293
1.66302E+13,78731,506877,507440,432342,473746,493894
4.17177E+12,78731,568598,530000,495914,453211,349829
3.56066E+12,78731,728070,659783,612218,465108,416673
3.56014E+12,78731,788957,749073,676060,637260,570171
4.82595E+11,78731,596160,557435,532526,509609,482856
2.77434E+12,78731,480575,471161,365197,386490,305222
1.46481E+13,78731,587468,535000,495563,467372,379956
1.66302E+13,78731,633766,580114,534422,450000,401621
1.663E+13,78731,490000,482424,440510,405000,339100
5.08987E+12,78731,496420,474086,419261,438178,377598
1.50597E+13,78731,502368,522519,493071,476596,462715
1.67027E+13,78731,469979,440863,423898,408290,330954
1.663E+13,78731,436900,405874,368122,339617,313872
9.97131E+11,78731,631492,708145,596289,551076,504513
4.45187E+12,78731,756464,702501,605680,560814,559614
1.67027E+13,78731,467425,435992,365213,382195,302321
1.29811E+12,78731,590224,593210,553844,488435,408061
1.67027E+13,78731,493930,461997,441644,422921,301411
1.67027E+13,78731,478280,449367,404523,418568,327332
3.58249E+12,78731,412165,468741,409349,460594,415921
1.66302E+13,78731,910594,829642,676040,616163,619361
3.41123E+12,78731,798527,730759,629801,580837,515259
4.46392E+12,78731,502969,472590,455912,346251,342991
2.77434E+12,78731,510209,476361,453710,432867,336947
1.663E+13,78731,505293,457573,400000,401375,338915
1.65105E+13,78731,396494,393541,396219,366355,389430
1.65105E+13,78731,536478,499540,473172,448913,345642
1.65105E+13,78731,428417,411975,411391,389581,310746
3.3944E+12,78731,954713,874564,683318,669531,644308
1.65105E+13,78731,839828,776308,679467,631046,614396
