,propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
98,3380250000000.0,78702,649729,487297,253302,230275,216328
99,2490370000000.0,78702,611348,200000,200000,208593,160475
100,286380000000.0,78702,380332,342341,331774,284438,182665
101,200885000000.0,78702,285765,304286,216979,147267,148460
102,16678800000000.0,78702,455546,481523,449925,391528,322149
103,3556770000000.0,78702,316050,281216,270521,231361,120709
104,5248090000000.0,78702,597186,644519,558138,235327,165621
105,3430110000000.0,78702,628555,942362,653405,504953,430463
106,3371460000000.0,78702,441115,522144,409438,367070,251356
107,5068340000000.0,78702,442417,396239,374488,325594,223823
108,526069000000.0,78702,390907,423872,334570,298826,187562
109,16602200000000.0,78702,376339,306944,293775,252437,186530
110,286380000000.0,78702,572175,588766,459049,411841,280362
111,16632600000000.0,78702,398783,367274,351192,302038,223199
112,15369300000000.0,78702,370216,328670,316299,270412,206146
113,15369300000000.0,78702,411477,393179,373700,280825,232877
114,15369300000000.0,78702,416637,385000,360068,310083,223674
115,82750848453.0,78702,342489,346794,318556,291501,220390
116,819803000000.0,78702,485428,465609,385315,351316,237934
117,3373500000000.0,78702,396578,359576,338298,292792,215511
118,171741000000.0,78702,451079,481160,428084,374173,263258
119,65816148453.0,78702,405556,376427,359464,309535,200644
120,16632600000000.0,78702,4250750,3129311,2106224,1331025,816321
121,4174270000000.0,78702,503263,491302,465215,403759,316777
122,16678700000000.0,78702,337211,284069,277827,235541,144213
123,16678700000000.0,78702,828866,620490,419069,318358,213400
124,16678700000000.0,78702,332054,247100,241374,204942,115781
125,14610800000000.0,78702,398878,367403,351312,302146,194249
126,16678700000000.0,78702,437892,393394,344968,304689,212385
127,3460390000000.0,78702,456536,460940,406163,389681,246425
128,4768780000000.0,78702,412511,346623,337959,292485,203419
129,16602200000000.0,78702,387259,321701,307113,264527,155033
130,3459910000000.0,78702,804344,200001,200000,165000,110000
131,16632600000000.0,78702,302408,281954,273640,234187,124022
132,3554260000000.0,78702,623498,649607,478246,437065,315854
133,3548060000000.0,78702,275000,253265,255430,237596,150482
134,3592530000000.0,78702,388808,353795,339005,286892,174122
135,16678700000000.0,78702,585446,439085,292723,146362,146362
136,16678700000000.0,78702,658356,492327,335035,177842,177829
137,16678700000000.0,78702,395525,247203,197762,98881,98881
138,16678700000000.0,78702,325383,266478,219655,119465,109850
139,4759680000000.0,78702,355980,299595,285500,246321,173852
140,2777280000000.0,78702,766531,759200,558544,514160,313919
141,14610800000000.0,78702,383989,347282,336349,288585,186940
142,14610800000000.0,78702,522989,402125,170001,180654,124580
143,2777280000000.0,78702,388899,325154,310236,267358,187780
144,1159070000000.0,78702,419959,395891,377056,325481,212198
145,4773090000000.0,78702,409065,415459,399549,341799,241907
146,15336100000000.0,78702,343750,250000,250000,206250,151250
147,16678700000000.0,78702,415707,361109,353870,300396,253307
148,16678700000000.0,78702,411187,341131,282279,294481,252309
149,4193430000000.0,78702,306921,260987,251244,196617,153885
150,16602200000000.0,78702,459589,435835,337244,302556,237455
151,526069000000.0,78702,354767,307793,297426,253306,162286
152,2777280000000.0,78702,378126,250000,250000,206250,178750
153,821420000000.0,78702,537568,480897,389310,328816,244619
154,16632600000000.0,78702,443469,427661,405773,351509,240359
155,16678700000000.0,78702,413728,387470,369444,318582,220320
156,3397140000000.0,78702,383385,240886,205745,173949,117526
157,16632600000000.0,78702,370320,328811,318299,272224,198435
158,2777280000000.0,78702,674145,670148,490131,448424,433181
159,16678700000000.0,78702,978246,305657,312861,267295,169811
160,5068220000000.0,78702,389665,368457,347270,315022,181373
161,16515400000000.0,78702,650575,713240,532274,484977,326484
162,16678700000000.0,78702,343949,318917,304599,262248,137972
163,16678800000000.0,78702,358352,312638,304274,259512,165349
164,16678800000000.0,78702,418325,393683,375063,323674,212156
165,3391270000000.0,78702,340510,288527,274414,240278,172704
166,16678700000000.0,78702,159438,140182,106999,108037,116478
167,3553650000000.0,78702,346309,296363,287098,243944,159370
168,16515400000000.0,78702,410840,383567,365924,315391,205415
169,3388770000000.0,78702,497661,474234,420261,365159,254153
170,1159070000000.0,78702,402921,399458,377077,303000,202601
171,15275000000000.0,78702,751400,743157,725364,668100,563763
172,16515400000000.0,78702,330000,330000,330000,309861,214279
173,16632600000000.0,78702,393984,343627,331740,282779,228832
