propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.67231E+13,78704,301065,290829,267000,243605,169290
2.16307E+13,78704,535475,563652,485291,152000,80000
1.66357E+13,78704,268000,238963,237920,203086,190485
1.67231E+13,78704,262000,237240,216900,176864,115750
2.65986E+12,78704,252300,234636,213000,184939,108525
1.44175E+13,78704,817488,810510,604513,430567,334961
1.67231E+13,78704,265633,222092,208719,192292,106724
1.0208E+12,78704,294134,249902,236215,221626,185399
1.15904E+12,78704,342370,346983,322508,239496,154830
1.02079E+12,78704,435152,407369,381980,326991,235178
1.66357E+13,78704,265235,238814,284261,250358,169429
1.66357E+13,78704,280094,238660,226075,204182,114906
1.66357E+13,78704,1199831,969584,888331,851164,232331
5.29075E+12,78704,312254,266318,252460,227767,341426
4.19573E+12,78704,786149,797242,764316,601717,631931
4.77826E+12,78704,384543,349144,271398,299566,208781
1.44514E+13,78704,332282,291777,285488,256628,218595
1.42929E+13,78704,710645,718811,680876,541484,515847
4.45811E+12,78704,302500,223645,223645,222789,99167
3.57118E+12,78704,419642,341155,275358,228314,153016
1.66034E+13,78704,301599,280530,271984,237235,151392
4.17516E+12,78704,321222,279637,254489,234608,141223
1.66034E+13,78704,1411291,1132210,1022786,990701,481213
1.66034E+13,78704,628003,535315,499433,426802,299352
2.49663E+12,78704,620620,638390,609766,485699,372790
1.66034E+13,78704,448028,415357,412775,341652,271267
3.60056E+12,78704,656452,634183,600028,496801,314118
5.0804E+12,78704,402951,351109,338091,307453,168947
1.66034E+13,78704,406658,373420,392757,332830,264658
1.02169E+12,78704,433236,391248,364672,326335,273371
4.76139E+12,78704,493248,438177,403547,367417,229260
4.76427E+12,78704,341367,308495,290976,256162,138522
5.42362E+12,78704,293200,282000,244504,230142,216016
4.19884E+12,78704,320381,285339,277298,241010,203300
5.42362E+12,78704,322242,284232,276076,240141,183776
3.54947E+12,78704,277200,262000,271854,237142,180324
2.63014E+11,78704,318430,280047,271448,236854,180012
