propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.67098E+13,78751,186750,243750,191300,190160,204500
1.66025E+13,78751,449000,491498,447929,371895,365331
1.66025E+13,78751,595874,494309,459966,295731,268192
1.66025E+13,78751,391307,373603,338645,293302,264390
1.66025E+13,78751,417384,400549,370005,315253,289401
1.66025E+13,78751,440107,397545,337113,314801,325881
1.67098E+13,78751,397817,357832,324194,283186,249928
1.67098E+13,78751,402170,378175,329098,287855,251206
1.52899E+13,78751,417051,373633,336289,283666,264774
1.67098E+13,78751,369300,334013,290756,259938,253876
1.67098E+13,78751,381595,348536,313056,294222,267376
1.08756E+12,78751,392197,357801,322657,282110,264939
1.65423E+13,78751,418100,371012,343523,315506,272777
1.53528E+13,78751,574130,474195,455727,375259,323537
1.65423E+13,78751,384885,371713,333466,312478,226168
4.75923E+12,78751,578016,480715,436877,364168,338506
1.66025E+13,78751,566374,424717,411062,348000,349296
1.66025E+13,78751,400759,395713,367580,313556,277850
1.66025E+13,78751,390535,415622,387553,323869,288346
1.66025E+13,78751,482935,456838,365000,357976,382445
1.50588E+13,78751,374140,353417,310383,283674,301282
3.36895E+12,78751,391306,373452,299484,265889,274862
1.66025E+13,78751,519100,487000,433812,438560,417463
3.45101E+12,78751,573000,523028,455935,438958,416019
1.67098E+13,78751,412325,391963,360014,308260,278091
1.67098E+13,78751,658365,644528,566597,480000,504739
1.67098E+13,78751,394380,382914,352414,302940,274165
1.67098E+13,78751,379024,335442,281670,253419,243234
1.67098E+13,78751,523856,411499,414197,346188,291698
1.67098E+13,78751,410366,388636,359194,307951,260695
4.77746E+12,78751,752236,687785,641719,501454,264257
3.57273E+12,78751,718518,602067,569391,460449,350538
1.66334E+13,78751,442686,413852,397989,322569,320075
1.08756E+12,78751,501489,432581,411273,344141,317765
3.59158E+12,78751,522236,428478,381902,325222,308237
1.08756E+12,78751,570000,592529,510410,425046,391817
3.41987E+12,78751,403040,376203,341670,295419,292737
1.66334E+13,78751,438932,437119,416650,347905,347981
1.67098E+13,78751,411850,405040,371974,307309,294324
1.67097E+13,78751,591596,491628,465347,383087,354434
4.17581E+12,78751,396459,365034,328256,286029,287092
3.58805E+12,78751,451741,386559,345000,342900,320124
1.67097E+13,78751,391792,383612,384011,325058,308286
1.08756E+12,78751,474648,408026,402833,335244,340877
1.67098E+13,78751,409756,380432,372334,345176,398098
1.66334E+13,78751,653646,521063,507741,411669,380812
1.66334E+13,78751,381908,316146,250100,278491,278974
1.67098E+13,78751,395930,382655,349181,300676,294304
1.67098E+13,78751,412378,361267,316526,283443,323572
1.67098E+13,78751,437905,435379,410547,343633,344581
1.40414E+13,78751,428523,419454,378121,320935,337833
